sNo	Company Name	Full Company Name	News Title	News Article	News Summary	NewsDate
77	HDFCLIFE	HDFC Life Insurance Company Ltd	Street buoyant with strong inflows, good opportunities to spur deals	"Mumbai: After a slowdown in deal-making in the finance sector last year, activity is now starting to pick up, driven by pent-up demand in the industry Domestic investors are now showing more interest while the market is also showing some promising opportunities. Over the past two weeks, three deals in the finance sector got concluded, including Abrdn (Mauritius Holdings) 2006 selling stake in HDFC Life Insurance and Tencent Cloud Europe BV selling stake in PB Fintech FII (foreign institutional investors) flow pattern, which was significantly in the negative for 2022 and early part of 2023, has reversed to positive territory emphatically,"" said Debasish Purohit, co-head of India investment banking at Bank of America. ""Strong foreign inflows in the last month and consistent retail flows into MFs (mutual funds) indicate growing investor confidence. We are in the middle of a supportive market window; it's important we take advantage of it.""Purohit said most fundraising in the recent past has been biased towards secondary exits by sponsors and promoters. ""While I don't expect the shift to be major, we are seeing a marked improvement in issuer appetite to raise primary growth capital,"" he said.After foreign investors pulled out money from India for a long time, things have started to change recently. Abrdn (Mauritius Holdings) 2006 sold its 1.66% stake in HDFC Life Insurance Company , completely exiting from the joint venture and making around ₹2,000 crore. Tencent Cloud Europe BV sold a 2.09% stake in PB Fintech, the company behind Policybazaar and Paisabazaar platforms, through open market transactions. Following the sale, Tencent's stake in PB Fintech fell to 6.28% from 8.37%, as of March 2023.In addition to these deals, Nexus Select Trust - which is touted as India's first real estate investment trust (REIT) initial public offering (IPO) of retail malls and one of the largest retail REIT IPOs in APAC since February 2015 - raised ₹3,200 crore. The book was oversubscribed 5.45 times, making it the country's largest real estate IPO since 2021. The IPO comprised 17 retail malls with a total leasable area of 9.2 million square feet (msf), two complementary hotel assets (354 keys), and three office assets (1.3 msf).Most of the fundraising activities have been happening in the secondary market, where existing owners are selling their shares. However, it's not expected to see a big increase in such activities overall, according to experts. There are very few large-size issuers like Go Digit looking to raise capital in the primary market, which means they want to issue new shares or instruments to raise money. However, it may be early next year when they are able to hit the market."	"""Strong foreign inflows in the last month and consistent retail flows into MFs (mutual funds) indicate growing investor confidence.
We are in the middle of a supportive market window; it's important we take advantage of it.
""Purohit said most fundraising in the recent past has been biased towards secondary exits by sponsors and promoters.
Tencent Cloud Europe BV sold a 2.09% stake in PB Fintech, the company behind Policybazaar and Paisabazaar platforms, through open market transactions.
However, it may be early next year when they are able to hit the market."	3 days ago
77	HDFCLIFE	HDFC Life Insurance Company Ltd	Stocks To Watch on 1 June, 2023: Cipla, Adani Ports, Adani Green Energy, HDFC Life Insurance, Cipla, Coal India, Vedanta | The Financial Express	"Stocks in focus: The SGX Nifty lost 0.37% in trade on Thursday morning, signaling that domestic indices NSE Nifty 50 and BSE Sensex would open on a negative basis, continuing to extend losses after snapping a four-day winning streak on Wednesday. Nifty futures were 69 points lower on the Singaporean exchange at 18,595. Benchmark indices NSE Nifty 50 and BSE Sensex ended Wednesday’s session in the red. Nifty 50 fell almost 100 points to 18,534 and Sensex plunged 346.89 points to 62,622.

“As indicated by multiple economic data points, the Indian economy is presently experiencing a robust recovery, leading to an upward trend in domestic equity markets. However, the rally is being hindered at times due to negative signals from global peers, as observed today. Concerns about a recession and potential interest rate hikes in western markets are impacting the domestic market but it is nevertheless maintaining the outperformance,” said Vinod Nair, Head of Research, Geojit Financial Services.

Stocks to Watch on 1 June, 2023

Adani Ports

Deloitte sounded the alarm on the lack of sufficient disclosures from Adani Ports & Special Economic Zone regarding its transactions with various entities. Deloitte further added that it cannot comment if Adani Ports was fully compliant with domestic laws.

Vedanta

Vedanta parent Vedanta Resources reduced its gross debt to $6.4 billion by paying loans and bonds worth $400 million maturing in May and June.

Coal India

The government proposed to sell up to 3% stake in Coal India through the offer for sale route from 1 June. At the closing price of Rs 241.20 apiece on BSE, the sale of 3% stake in Coal India would be worth around Rs 4,400 crore.

Adani Green Energy

After Adani Enterprises and Adani Transmission approved fundraising measures, Adani Green Energy, that saw its board meeting to approve fundraising canceled, will consider raising an additional $1 billion within the next few weeks.

Cipla

Cipla announced that the sale of their stake held in Cipla Quality Chemical Industries, step-down subsidiary in Uganda, is expected to be completed on or before 31 July.

HDFC Life Insurance

abrdn, a promoter in HDFC Life Insurance, has undertaken a sale of 3,56,94,105 equity shares (representing approximately 1.66% of the total issued and paid‐up equity share capital) at an average price of Rs. 570.60 per equity share. After the sale, abrdn will hold no shares in HDFC Life Insurace."	"Nifty 50 fell almost 100 points to 18,534 and Sensex plunged 346.89 points to 62,622.
“As indicated by multiple economic data points, the Indian economy is presently experiencing a robust recovery, leading to an upward trend in domestic equity markets.
Coal IndiaThe government proposed to sell up to 3% stake in Coal India through the offer for sale route from 1 June.
At the closing price of Rs 241.20 apiece on BSE, the sale of 3% stake in Coal India would be worth around Rs 4,400 crore.
Adani Green EnergyAfter Adani Enterprises and Adani Transmission approved fundraising measures, Adani Green Energy, that saw its board meeting to approve fundraising canceled, will consider raising an additional $1 billion within the next few weeks."	4 days ago
77	HDFCLIFE	HDFC Life Insurance Company Ltd	Stocks To Watch: Coal India, Tata Motors, Mahindra & Mahindra, Bank Of India, HDFC Life Insurance, Gati	"Asian stock futures fell after Wall Street closed lower as investors looked beyond the debt ceiling to instead focus on the path for interest rates and concern in earnings reports.

Contracts for benchmarks in Japan, Hong Kong and Australia all slid, adding pressure to the region’s equities, which fell more than 1% Wednesday against the backdrop of worries about Chinese growth. Manufacturing data for China due Thursday is forecast to show a further contraction in activity.

Contracts for U.S. equities were flat in early Asian trading after declines on Wednesday. The S&P 500 closed 0.6% lower, narrowly clinging to a small gain for May to mark three consecutive monthly advances. The Nasdaq 100 index fell 0.7%, weighed down by a decline for Nvidia Corp. shares after a rapid rally that has tripled the stock price this year.

Comments from Federal Reserve Governor Philip Jefferson signaled the central bank is inclined to keep interest rates steady in June to assess the economic outlook.

Meanwhile, the yield on 10-year treasuries in U.S. was trading at 3.63%. Crude declined nearly 1% below $73-mark, while Bitcoin was above 27,000-level.

At 05:36 a.m., the Singapore-traded SGX Nifty, an early indicator of the Nifty 50 Index’s performance in India, down 0.37% at 18,595.

Domestic benchmark indices ended lower as banks and financial stocks, including the HDFC twins, Axis Bank Ltd. and State Bank of India dragged. The Indian rupee closed flat against the U.S. dollar as domestic equities came under pressure and the greenback retained its strength.

Foreign investors were net buyers for the eighth straight day and bought equities worth Rs 3,405.9 crore. On the other hand, domestic institutional investors were net sellers for two days in a row and offloaded Rs 2,528.5 crore worth of equities."	"Asian stock futures fell after Wall Street closed lower as investors looked beyond the debt ceiling to instead focus on the path for interest rates and concern in earnings reports.
The S&P 500 closed 0.6% lower, narrowly clinging to a small gain for May to mark three consecutive monthly advances.
Domestic benchmark indices ended lower as banks and financial stocks, including the HDFC twins, Axis Bank Ltd. and State Bank of India dragged.
Foreign investors were net buyers for the eighth straight day and bought equities worth Rs 3,405.9 crore.
On the other hand, domestic institutional investors were net sellers for two days in a row and offloaded Rs 2,528.5 crore worth of equities."	4 days ago
78	HCLTECH	HCL Technologies Ltd	Salaries of some HCL Tech employees may be reduced as company changes pay policy in post-pandemic era	"Some employees at the Indian IT firm HCL Technologies may face a reduction in overall compensation as the company has decided to revise the Engagement Performance Bonus policy, which is a part of the workers' variable pay. While HCL Tech's net profit rose to 11 per cent YoY in Q42023 ended on March 31, the company's move to reduce variable pay comes as most tech firms globally are laying off employees to manage their expenses under challenging macroeconomic conditions. HCL Tech has also revised the EPB policy, and going forward, eligible employees will receive EPB quarterly. ""Employees on the bench"" would not be eligible to receive EPB, which automatically reduces their monthly salary.

According to Business Today, HCL Tech informed employees about the change via email. The email obtained by the publication reads, ""Employees will be paid EPB basis the Quarterly Manager Feedback in My Performance effective April 1, 2023. Key performance parameters, targets will be defined. At the end of every quarter, a score-based performance review will be triggered. Employees on bench will not be eligible for EPB payout for the period they are on bench."" The report adds that employees who may quit mid-quarter will not receive EPB, which could be standard practice across industries.

HCL Tech also clarified changes to the publication. In a statement, a spokesperson said that the IT company paid 100 per cent EPB to eligible employees to support them during the COVID-19 pandemic. The new changes were made considering the state of the COVID-19 outbreak in India and globally. The full statement reads:

""At HCLTech, we have always offered an Engagement 'Performance' Bonus (EPB) as part of our total compensation package up to the E3 band. The EPB is typically 3-4 per cent of total compensation, and the average payout is approximately 80 per cent. Our employment contract identifies EPB as performance-linked variable pay, and this is governed by company policy. To support employees during the pandemic, the company made a policy exception and paid 100 per cent EPB irrespective of performance. Post-pandemic, the company is reverting to the original policy. This has been communicated to our employees.""

The changes were not received well by employees and employee union Nascent Information Technology Employees Senate (NITES) has also taken cognizance of the matter. The union believes it is necessary ""to safeguard the interests of IT employees."" President of the union, Harpreet Singh Saluja, told the publication, ""We believe it is essential to hold companies accountable for their actions and ensure that the rights and well-being of employees are protected."""	"HCL Tech has also revised the EPB policy, and going forward, eligible employees will receive EPB quarterly.
According to Business Today, HCL Tech informed employees about the change via email.
HCL Tech also clarified changes to the publication.
Our employment contract identifies EPB as performance-linked variable pay, and this is governed by company policy.
To support employees during the pandemic, the company made a policy exception and paid 100 per cent EPB irrespective of performance."	3 days ago
78	HCLTECH	HCL Technologies Ltd	Stocks to Watch: Adani Ent, IndusInd Bank, Infosys, Tata Motors, HCL Tech, and Others	"Stocks To Watch June 2: The Nifty futures contract traded on the Singapore Exchange indicates a positive start to domestic equities. The contract was trading at 18,621.50, up 58 points or 0.31 per cent from the previous close.

Adani Enterprises: The company’s wholly-owned subsidiary - Adani Road Transport inked pact to acquire Gujarat Road and Infrastructure Company, which is owned 56.8 per cent by Macquarie Asia Infrastructure Fund, and Swarna Tollway, completely owned by Macquarie Asia Infrastructure Fund.

IndusInd Bank, Infosys: Shares of IndusInd Bank and Infosys will be in focus as the companies will go ex-dividend today.

Tata Motors: The automaker reported 1.62 per cent decline in total sales at 74,973 units in May as compared to the same month last year. Total domestic sales, too, slumped 2 per cent year-on-year (YoY) at 73,448 units. Domestic passenger vehicle sales, however, rose 6 per cent YoY to 45,878 units.

NHPC: The state-owned hydro power major signed agreement with Nepalese utility Vidhyut Utpadan Company to develop a 480 megawatt (MW) Phukot Karnali hydroelectric project. The project will use the flow from the Karnali River for power generation and the generated power will be fed into the integrated power system of Nepal.

AstraZeneca: The company received approval from the Central Drugs Standard Control Organisation (CDSCO) for its cancer drug Tremelimumab Concentrate. The approval paves the way for the launch of Tremelimumab solution of 20 mg/ml, said the management.

HCL Technologies: The IT major inked an agreement with IIT-Kharagpur for collaboration in the field of petroleum engineering and earth sciences. Both will jointly develop innovative and sustainable solutions to address critical challenges of the petroleum industry.

Dish TV: The two-member board of the Dish TV group declined a notice by majority shareholders to appoint three of their nominees to the board and said they made “numerical and procedural lapses.""

NTPC: The company partnered with Ohmium International (Ohmium) to manufacture proton exchange membrane (PEM) electrolysers, in order to produce green hydrogen in India. Ohmium’s advanced green hydrogen technology will be used to decarbonise energy, transport and ammonia projects.

SJVN: The company signed a project development agreement for 669-MW Lower Arun Hydro Electric Project in Nepal. The project shall be constructed in five years at a cost of Rs 5,792 crore with a levelised tariff of Rs 4.99 per unit, said the company.

Lupin: The pharma major’s wholly-owned subsidiary, Novel Laboratories Inc, has received approval from the United States Food and Drug Administration (USFDA) for its abbreviated new drug application for diazepam rectal gel.

top videos

TVS Motor: The company hiked price of its TVS IQube scooter by Rs 17,000 to Rs 20,000 depending on the variant, making the announcement after the government’s FAME II programme revised subsidies for electric two-wheelers (E2W)."	"Stocks To Watch June 2: The Nifty futures contract traded on the Singapore Exchange indicates a positive start to domestic equities.
IndusInd Bank, Infosys: Shares of IndusInd Bank and Infosys will be in focus as the companies will go ex-dividend today.
Tata Motors: The automaker reported 1.62 per cent decline in total sales at 74,973 units in May as compared to the same month last year.
Total domestic sales, too, slumped 2 per cent year-on-year (YoY) at 73,448 units.
AstraZeneca: The company received approval from the Central Drugs Standard Control Organisation (CDSCO) for its cancer drug Tremelimumab Concentrate."	3 days ago
78	HCLTECH	HCL Technologies Ltd	Salaries of IT executives: From HCL’s C Vijayakumar, Infosys’ Salil Parekh to Tech Mahindra’s CP Gurnani, and others | The Financial Express	"The Indian IT industry has been rapidly growing. The Indian CEOs of these companies have played a major role and are behind the success. The list of biggest IT companies in India comprises Tata Consultancy Service (TCS), Infosys, HCL, and Wipro among others. Let’s find out how much money the CEOs of TCS, HCL, Tech Mahindra, Infosys, and Wipro earn:

HCL’s CEO, C Vijayakumar, was the highest-paid CEO in FY22. According to the company’s annual report, Vijaykumar was paid Rs 123.13 crore in FY22. Vijayakumar received USD 2 million as base salary, USD 2 million in variable pay, and USD 0.02 million in perquisites along with other benefits for the last financial year, HCL’s annual report stated.

Wipro CEO Thierry Delaporte

Thierry Delaporte, Wipro CEO, who was named the company’s CEO in July 2020 earned Rs 79.8 crore in FY22.

Infosys CEO Salil Parekh, the third-highest-paid CEO of IT firms in India earned Rs 71.02 crore in 2022.

Tech Mahindra CEO CP Gurnani was paid Rs 63.4 crore in 2022. This was a jump of 189 per cent as compared to FY21. Interestingly, Infosys’ Mohit Joshi will replace CP Gurnani at Tech Mahindra.

The fifth-highest-paid CEO of an IT firm in India, Rajesh Gopinathan received a compensation of Rs 25.75 crore in 2021-22. His salary rose 26.6 per cent in FY22."	"Let’s find out how much money the CEOs of TCS, HCL, Tech Mahindra, Infosys, and Wipro earn:HCL’s CEO, C Vijayakumar, was the highest-paid CEO in FY22.
Wipro CEO Thierry DelaporteThierry Delaporte, Wipro CEO, who was named the company’s CEO in July 2020 earned Rs 79.8 crore in FY22.
Infosys CEO Salil Parekh, the third-highest-paid CEO of IT firms in India earned Rs 71.02 crore in 2022.
Tech Mahindra CEO CP Gurnani was paid Rs 63.4 crore in 2022.
The fifth-highest-paid CEO of an IT firm in India, Rajesh Gopinathan received a compensation of Rs 25.75 crore in 2021-22."	4 days ago
79	HINDUNILVR	Hindustan Unilever Ltd	Reliance Industries, ITC, ICICI Bank, Maruti Suzuki among largecap shares that analysts like post Q4 results	"Corporate earnings beat consensus estimates in the March quarter, even as analysts remained unimpressed with the quality of beat. Analysts noted that the Dalal Street is factoring in 21 per cent earnings growth in FY24 and 14.5 per cent in FY25 for the Nifty 100 universe. This is after an 8.8 per cent earnings growth in FY23. ICICI Bank, Mahindra & Mahindra (M&M) and Sun Pharma are among common stocks that are on brokerages' buy list post Q4 results.

Financials, autos and oil & gas sectors are seen as key drivers of aggregate earnings, accounting for 55 per cent of the incremental earnings over FY23-25. The profitability metrics are close to historical highs across many sectors, as per current estimates, analysts said.

""We prefer domestic economy-focused companies/sectors and where earnings risk is limited to a possible slowdown. We are OW on financials, consumer staples, infra/construction, oil & gas and healthcare. We are underweight on IT services, autos, durables, capital goods and metals,"" it said while suggesting a March 2024 Nifty target of 19,872.

Watch: Multibagger stocks: HDFC Bank, Bharat Dynamics, ICICI Bank, Titan among Goldman Sachs' India multibagger stocks list

Among large cap stocks, Nomura India likes ICICI Bank, Hindustan Unilever, Mahindra & Mahindra, Larsen & Toubro and Reliance Industries. Its least preferred largecap stocks included Maruti Suzuki, TCS, Eicher Motors and Bajaj Finance.

ITC, ICICI Bank, Bajaj Finance, HCL Technologies, Titan Company, Sun Pharma, ONGC, M&M and UltraTech Cement are among stocks that Motilal Oswal Securities prefer in the largecap pack.

Phillip Capital has upgraded stocks such as Tata Steel, Hero MotoCorp, NMDC and Sun Pharma to buy; it upgraded JSW Energy to neutral.

Of the 46 Nifty companies (ex-Bajaj Finserv, Adani Enterprises, Adani Ports and Apollo Hospitals), 13 beat revenue estimates while 27 others reported in-line results, Phillip Capital said. A total of 20 exceeded Ebitda and 24 exceeded earnings expectations. A total of six missed revenue, 15 Ebitda and 14 earnings estimates, Phillip Capital said.

Watch; Stocks that share market analysts recommended on June 5, 2023: Lemon Tree, Hikal, VRL Logistics and SBI Life

""We expect auto and cement to continue benefit from falling cost of input commodities, setting the stage for sustained earnings growth. Our outlook for NBFC remains positive, driven by robust loan growth and benign credit cost,"" Elara Securities said.

Nuvama Institutional Equities said it is overweight on sectors with margin tailwinds such as FMCG, pharma, cement domestic autos, IT, Telecom and internet) and underweight on cyclicals such as banking and financials, industrials and metals.

Watch: Stocks to watch on June 5, 2023: Bank of Baroda, Apollo Hospitals, Minda Corporation, others

Also read: Adani Ports shares rebound 86% from 52-week low; can they hit four-digit mark?

Also read: Paytm shares operating performance for May; disbursements at Rs 5,502 crore"	"Analysts noted that the Dalal Street is factoring in 21 per cent earnings growth in FY24 and 14.5 per cent in FY25 for the Nifty 100 universe.
This is after an 8.8 per cent earnings growth in FY23.
ICICI Bank, Mahindra & Mahindra (M&M) and Sun Pharma are among common stocks that are on brokerages' buy list post Q4 results.
Watch: Multibagger stocks: HDFC Bank, Bharat Dynamics, ICICI Bank, Titan among Goldman Sachs' India multibagger stocks listAmong large cap stocks, Nomura India likes ICICI Bank, Hindustan Unilever, Mahindra & Mahindra, Larsen & Toubro and Reliance Industries.
A total of six missed revenue, 15 Ebitda and 14 earnings estimates, Phillip Capital said."	6 hours ago
79	HINDUNILVR	Hindustan Unilever Ltd	HUL starts price cuts in some categories	"Dealers and major distributors of Hindustan Unilever have started destocking high-cost inventory as the FMCG major has commenced price cuts in certain categories with more reductions in the offing.

An HUL spokesperson confirmed the price cuts with commodity prices such as that of palm oil, tea and crude oil having come off their highs.

Also read: Editorial. For companies, input cost pressures ease but business growth uncertain

Data drive

“Price cuts are taken in large chunks to minimise trade pipeline disruption. Our pricing actions extensively use data and analytics and are based on the principles of Net Revenue Management,” the spokesperson told businessline in response to an email seeking clarification.

Trade sources said that price reductions have been taken in categories such as laundry products, skin cleansers, soaps and in tea. In anticipation, stockists are clearing their high-cost inventory and waiting for fresh stocks to arrive. In such a scenario it is usual to see a surge in secondary sales – from wholesalers to retailers, compared to primary sales that is from the company to wholesalers.

Also read HUL now has 19 brands with turnover exceeding ₹1,000 crore

More price cuts are likely to follow as commodity prices have significantly cooled.

Some respite

HDFC Securities in a note last week said that most crops along with palm oil, crude oil and crude derivatives have all seen meaningful price corrections in recent months, providing relief to consumer goods companies.

The rise in commodity prices over the last couple of years saw FMCG companies having to struggle with unprecedented inflation and soaring raw material costs. Job losses, fewer job opportunities and salary cuts — seen during the pandemic — also meant lower sales volumes and the only way that FMCG companies could protect their margins and bottomlines was through calibrated price hikes once the pandemic ended. HUL said that it had been focussed on protecting its business model while growing its franchise, during the inflationary period.

Editorial Party is over

Not all the cost increase was passed on and HUL did see a negative impact on its gross margin. The company said that during the last two years, the cumulative net material inflation was 30 per cent but its price hikes lagged that. Also, for customers at the bottom of the value chain the price hike was much lower.

Over the last two fiscal years, HUL took a cumulative 18 per cent price increase. In FY23, of the 16 per cent growth in its topline, 11 per cent came through price growth. In the March quarter, the price growth was 7 per cent, showing the deceleration of inflation."	"Dealers and major distributors of Hindustan Unilever have started destocking high-cost inventory as the FMCG major has commenced price cuts in certain categories with more reductions in the offing.
An HUL spokesperson confirmed the price cuts with commodity prices such as that of palm oil, tea and crude oil having come off their highs.
Also read HUL now has 19 brands with turnover exceeding ₹1,000 croreMore price cuts are likely to follow as commodity prices have significantly cooled.
Over the last two fiscal years, HUL took a cumulative 18 per cent price increase.
In FY23, of the 16 per cent growth in its topline, 11 per cent came through price growth."	1 day ago
79	HINDUNILVR	Hindustan Unilever Ltd	Mcap: 7 of top-10 most-valued firms erodes by ₹65,656 crore; Reliance biggest laggard	"The combined market valuation of seven of the top-10 most-valued firms eroded by ₹65,656.36 crore last week, with Reliance Industries taking the biggest hit, amid a muted trend in domestic equities.

Last week, the BSE benchmark gained 45.42 points or 0.07 per cent, and the Nifty climbed 34.75 points or 0.18 per cent.

While Reliance Industries, Tata Consultancy Services (TCS), HDFC Bank, ICICI Bank, ITC, Infosys and HDFC were the laggards, Hindustan Unilever, State Bank of India and Bharti Airtel witnessed addition in their market valuations.

The market valuation of Reliance Industries eroded by ₹34,910.54 crore to ₹16,60,923.11 crore.

ICICI Bank's valuation tumbled ₹9,355.65 crore to ₹6,55,197.93 crore and that of Infosys fell by ₹7,739.51 crore to ₹5,38,923.48 crore.

The market capitalisation (mcap) of TCS declined by ₹7,684.01 crore to ₹12,10,414.19 crore and that of HDFC Bank dived ₹5,020.13 crore to ₹8,97,722.23 crore.

ITC's valuation dipped Rs 621.4 crore to reach ₹5,50,809.75 crore and that of HDFC went lower by ₹325.12 crore to ₹4,88,141.04 crore.

However, Hindustan Unilever added ₹15,213.6 crore taking its valuation to ₹6,38,231.22 crore.

Bharti Airtel's mcap jumped ₹10,231.92 crore to ₹4,66,263.37 crore and that of State Bank of India climbed ₹1,204.82 crore to ₹5,24,053.21 crore.

In the ranking of top-10 firms, Reliance Industries retained the number one rank, followed by TCS, HDFC Bank, ICICI Bank, Hindustan Unilever, ITC, Infosys, State Bank of India, HDFC and Bharti Airtel."	"The combined market valuation of seven of the top-10 most-valued firms eroded by ₹65,656.36 crore last week, with Reliance Industries taking the biggest hit, amid a muted trend in domestic equities.
The market valuation of Reliance Industries eroded by ₹34,910.54 crore to ₹16,60,923.11 crore.
ICICI Bank's valuation tumbled ₹9,355.65 crore to ₹6,55,197.93 crore and that of Infosys fell by ₹7,739.51 crore to ₹5,38,923.48 crore.
The market capitalisation (mcap) of TCS declined by ₹7,684.01 crore to ₹12,10,414.19 crore and that of HDFC Bank dived ₹5,020.13 crore to ₹8,97,722.23 crore.
Bharti Airtel's mcap jumped ₹10,231.92 crore to ₹4,66,263.37 crore and that of State Bank of India climbed ₹1,204.82 crore to ₹5,24,053.21 crore."	1 day ago
80	HEROMOTOCO	Hero MotoCorp Ltd	Hero MotoCorp hikes price of e-scooter VIDA V1 Pro by Rs 6,000 from June 1	"The country's largest two-wheeler maker Hero MotoCorp has increased price of its electric scooter VIDA V1 Pro by around Rs 6,000 in order to offset the impact of curtailed subsidy structure on electric two-wheelers coming into effect from June 1.

The company's flagship electric scooter VIDA V1 Pro will now be available at Rs 1,45,900 including FAME II subsidy and portable charger.

This is an increase of around Rs 6,000 from the earlier pricing.

When contacted, a company dealer confirmed the development and noted that the two-wheeler maker has absorbed the major impact of the reduction in subsidy under FAME II effective June 1, and passed on only a small fraction of the additional cost to the prospective buyers.

A comment from the company could not be ascertained immediately.

For electric two-wheelers, the maximum subsidy cap, which was 40 per cent of the ex-factory price, has been reduced to 15 per cent by the Ministry of Heavy Industries.

Also Read Ola announces price hikes for its electric scooters, to cost Rs 15k more Hero MotoCorp Q4 net up 31% to Rs 810 cr on higher prices, better savings Hero plans to expand electric two-wheeler range over next 12-18 months Price hikes to favor Hero Moto's Q4 revenues; margins may expand: Analysts As govt cuts down subsidy, EV two-wheelers may get costlier from June 1 Govt holds talks with BALCO for withdrawing arbitration, initiating IPO Aiming to maintain leadership position in SUV segment: Mahindra Group CFO Sterling Holidays to add new hotel each month to cash in on tourism growth Reliance Retail, 6 others submit EoIs for Future Supply Chain Solutions Samsung may lose PLI scheme incentives for 1st yr due to invoicing issues

As per the industry sources, the FAME II revision has resulted in a subsidy reduction of around Rs 32,000 per unit.

Already, several electric two-wheeler companies have hiked prices of their electric models for sustainable operations.

TVS Motor Company has stated that in order to propel the electrification journey further in a sustainable manner after FAME II scheme revision, it has increased iQube's price between Rs 17,000 and Rs 22,000 depending on the variant.

The iQube base and S trims were earlier priced at Rs 1,06,384 and Rs 1,16,886, respectively in Delhi.

Ather Energy said that following the FAME II subsidy revision, it has also revised the prices of its scooters with 450X now starting at Rs 1,45,000 (ex-showroom Bengaluru).

The 450X with Pro Pack now starts at Rs 1,65,435 in Bengaluru, an increase of around Rs 8,000.

Ola's electric scooter S1 Pro is now priced at Rs 1,39,999; S1 (3KWh) at Rs 1,29,999; and S1 Air (3KWh) at Rs 1,09,999.

The product range is now roughly Rs 15,000 costlier than before.

Hero Electric said that it will not increase the prices of its popular e-scooter models.

The company said it remains dedicated to promoting the adoption of electric two-wheelers and dispelling misconceptions about their cost of ownership.

The Heavy Industries Ministry has notified that for electric two-wheelers, the demand incentive will be Rs 10,000 per kWh.

The cap on incentives for electric two-wheelers will be 15 per cent of the ex-factory price of vehicles from 40 per cent at present.

The Faster Adoption and Manufacturing of Electric and Hybrid Vehicles (FAME) India scheme commenced on April 1, 2019 for a period of three years, which was further extended for two years till March 31, 2024."	"The country's largest two-wheeler maker Hero MotoCorp has increased price of its electric scooter VIDA V1 Pro by around Rs 6,000 in order to offset the impact of curtailed subsidy structure on electric two-wheelers coming into effect from June 1.
The company's flagship electric scooter VIDA V1 Pro will now be available at Rs 1,45,900 including FAME II subsidy and portable charger.
Ola's electric scooter S1 Pro is now priced at Rs 1,39,999; S1 (3KWh) at Rs 1,29,999; and S1 Air (3KWh) at Rs 1,09,999.
The company said it remains dedicated to promoting the adoption of electric two-wheelers and dispelling misconceptions about their cost of ownership.
The Heavy Industries Ministry has notified that for electric two-wheelers, the demand incentive will be Rs 10,000 per kWh."	1 day ago
