sNo	Company Name	Full Company Name	sc Performance	sc Valuation	sc Growth	sc Profitability	sc Entry Point	sc Red Flags	Income Statements	2019 Total Revenue	2019 EBITDA	2019 Net Income	2019 PBT	2020 Total Revenue	2020 EBITDA	2020 Net Income	2020 PBT	2021 Total Revenue	2021 EBITDA	2021 Net Income	2021 PBT	2022 Total Revenue	2022 EBITDA	2022 Net Income	2022 PBT	PE Ratio
41	ZYDUSLIFE	Zydus Lifesciences Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.43%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 4.92% to 5.97%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 24.71%, vs industry avg of 4.09%	13,366.70	3,174.20	1,848.80	2,382.10	14,367.00	2,533.70	1,176.60	1,495.40	14,449.10	3,159.60	2,133.60	2,331.20	17,848.30	5,923.80	4,487.30	5,083.80	27.96
42	CGPOWER	CG Power and Industrial Solutions Ltd	 High The creamy layer - amongst the top performing stocks	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 2.09%, vs industry avg of -2.27%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 9.62% to 10.87%	8,065.98	182.88	-503.50	-474.55	5,351.18	-830.04	-1,323.65	-1,406.95	5,126.70	1,771.15	1,295.20	1,427.22	6,191.45	1,218.17	912.54	1,035.39	59.41
43	CIPLA	Cipla Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 8.56%, vs industry avg of 7.66%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 7.56% to 7.37%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 20.12%, vs industry avg of 4.09%	16,838.98	3,573.88	1,527.70	2,079.14	17,476.19	3,550.19	1,546.52	2,178.18	19,425.58	4,518.42	2,404.87	3,290.06	22,044.25	4,651.57	2,516.75	3,493.27	27.98
44	COALINDIA	Coal India Ltd	 Low Hasn't faired well - amongst the low performers	 Avg Can be considered moderately valued vs the market	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Good The stock is underpriced and is not in the overbought zone	 Low No red flag found	Matching Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 6.36%, vs industry avg of 6.36%Constant Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share stayed at 100%Matching Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 13.34%, vs industry avg of 13.34%	1,05,422.67	30,840.91	17,463.07	27,126.87	1,02,525.30	28,025.07	16,714.19	24,071.32	93,768.84	22,369.33	12,699.89	18,009.24	1,13,618.02	28,586.44	17,358.10	23,616.28	4.98
45	COROMANDEL	Coromandel International Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Good The stock is underpriced and is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.81%, vs industry avg of 13.85%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 10.58% to 10.11%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 26.23%, vs industry avg of 22.53%	13,262.48	1,457.12	720.48	1,092.58	13,177.51	1,771.80	1,065.04	1,378.51	14,262.41	2,064.70	1,329.15	1,785.95	19,258.86	2,297.87	1,528.46	2,049.75	13.96
46	COFORGE	Coforge Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 18.04%, vs industry avg of 9.9%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 0.72% to 1.05%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 21.48%, vs industry avg of 9.03%	3,729.70	696.40	403.30	562.40	4,251.60	783.90	444.00	595.40	4,695.40	794.10	455.60	596.20	6,483.80	1,153.70	661.70	861.50	38.88
47	COLPAL	Colgate-Palmolive (India) Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 4.97%, vs industry avg of 7.56%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 11.36% to 10.05%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 13.31%, vs industry avg of 8.06%	4,530.59	1,304.21	775.55	1,142.54	4,574.32	1,250.91	816.46	1,043.35	4,871.57	1,539.98	1,035.39	1,350.22	5,126.04	1,592.20	1,078.32	1,409.01	42.07
48	CONCOR	Container Corporation of India Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 4.81%, vs industry avg of 10.37%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 16.02% to 11.16%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 4.24%, vs industry avg of 31.3%	7,424.90	2,155.85	1,229.37	1,696.74	6,926.01	1,134.64	403.52	543.79	6,826.63	1,270.47	505.26	673.68	8,041.35	2,018.73	1,055.12	1,394.47	35.43
49	CHOLAFIN	Cholamandalam Investment and Finance Company Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 Avg Average profitability - not good, not bad	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 16.85%, vs industry avg of 13.3%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 6.24% to 7.29%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 24.52%, vs industry avg of 18.24%	7,108.83	1,888.52	1,198.06	1,831.53	8,712.63	1,699.47	1,053.72	1,588.22	9,639.72	2,150.20	1,520.86	2,047.90	10,231.81	3,008.23	2,153.51	2,907.60	32.61
50	DABUR	Dabur India Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.35%, vs industry avg of 7.56%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 22.33% to 22.13%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 6.37%, vs industry avg of 8.06%	8,812.12	1,961.35	1,442.33	1,724.87	8,989.93	1,997.63	1,444.96	1,727.64	9,886.94	2,326.96	1,693.30	2,056.02	11,281.84	2,560.17	1,739.22	2,268.68	56.83
51	DALBHARAT	Dalmia Bharat Ltd	 Low Hasn't faired well - amongst the low performers	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	BadThe stock is overpriced and in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 8.19%, vs industry avg of 13.46%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 4.58% to 4.17%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 91.86%, vs industry avg of 19.17%	9,719.00	2,177.00	308.00	339.00	9,891.00	2,300.00	224.00	357.00	10,291.00	2,915.00	1,171.00	1,362.00	11,477.00	2,592.00	1,144.00	1,154.00	39.99
52	DEEPAKNTR	Deepak Nitrite Ltd	 High The creamy layer - amongst the top performing stocks	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 36.36%, vs industry avg of 14.42%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.29% to 5.45%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 61.76%, vs industry avg of 24.4%	2,715.04	432.32	173.66	267.98	4,264.91	1,064.10	611.03	806.40	4,381.27	1,271.68	775.81	1,041.72	6,844.80	1,648.52	1,066.64	1,434.45	34.10
53	CUMMINSIND	Cummins India Ltd	 High The creamy layer - amongst the top performing stocks	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 4.81%, vs industry avg of 9.13%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 9.6% to 7.62%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 4.87%, vs industry avg of 17.99%	6,025.02	1,196.76	742.61	1,068.89	5,571.20	949.08	705.61	807.48	4,746.98	968.95	635.03	825.00	6,637.62	1,354.76	933.74	1,206.98	40.79
54	CROMPTON	Crompton Greaves Consumer Electricals Ltd	 High The creamy layer - amongst the top performing stocks	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 6.88%, vs industry avg of 10.94%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 6.99% to 8.62%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 15.35%, vs industry avg of 10.08%	4,526.92	632.33	401.39	559.84	4,579.31	658.15	496.39	590.69	4,879.26	796.23	616.65	723.63	5,466.76	829.13	578.38	751.54	38.01
55	DMART	Avenue Supermarts Ltd	 High The creamy layer - amongst the top performing stocks	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 21.13%, vs industry avg of 16.23%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 34.06% to 80.67%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 25.53%, vs industry avg of 24.66%	20,052.87	1,681.64	902.54	1,421.94	24,930.19	2,188.30	1,301.08	1,744.77	24,339.27	1,939.26	1,099.49	1,483.45	31,093.76	2,615.99	1,492.55	2,064.12	96.46
56	DLF	DLF Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of -8.22%, vs industry avg of 1.17%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 16.54% to 9.35%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 15.99%, vs industry avg of 9.43%	9,156.73	2,932.15	1,319.20	645.65	7,228.47	2,280.70	-583.20	653.46	5,944.89	1,852.42	1,093.61	839.58	6,137.85	1,938.59	1,500.86	1,164.60	111.03
57	DIXON	Dixon Technologies (India) Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 34.2%, vs industry avg of 10.94%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 4.38% to 16.87%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 31.93%, vs industry avg of 10.08%	2,990.08	141.78	63.35	93.81	4,405.32	232.74	120.50	156.77	6,449.75	293.45	159.80	217.01	10,700.89	388.06	190.17	254.71	90.05
58	DRREDDY	Dr Reddy's Laboratories Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 8.99%, vs industry avg of 7.66%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 7.43% to 7.39%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 11.05%, vs industry avg of 4.09%	15,829.50	3,559.50	1,950.00	2,335.80	18,193.70	3,147.10	2,026.00	1,885.70	19,386.90	4,209.30	1,951.60	2,883.50	22,099.90	4,322.40	2,182.50	3,061.40	17.09
59	DIVISLAB	Divi's Laboratories Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 17%, vs industry avg of 8.51%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 40.63% to 54.85%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 22.79%, vs industry avg of 19.07%	5,101.89	2,028.65	1,352.74	1,855.07	5,584.05	2,012.84	1,376.54	1,819.46	7,031.96	2,923.73	1,984.29	2,666.04	9,073.70	3,997.01	2,960.45	3,683.50	51.51
60	EICHERMOT	Eicher Motors Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.71%, vs industry avg of 3.36%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 22.65% to 27.84%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 0.11%, vs industry avg of -18.22%	10,498.85	3,604.90	2,202.73	3,297.29	9,728.54	2,755.31	1,827.44	2,354.89	9,204.67	2,265.57	1,346.89	1,798.39	10,798.80	2,673.22	1,676.60	2,202.51	34.80
61	FLUOROCHEM	Gujarat Fluorochemicals Ltd	 Low Hasn't faired well - amongst the low performers	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Income statement not found	2,815.24	865.82	1,248.57	645.29	2,822.65	629.29	196.33	332.09	2,851.58	796.97	-218.73	482.33	4,114.14	1,329.03	787.17	1,045.18	25.98
62	ESCORTS	Escorts Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 12.21%, vs industry avg of 11.21%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 75.12% to 78.55%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 41.19%, vs industry avg of 27.29%	6,361.21	821.76	478.93	715.01	5,907.69	749.70	472.25	625.25	7,174.80	1,286.40	871.46	1,154.78	7,456.45	1,139.86	736.47	992.83	44.78
63	GAIL	GAIL (India) Ltd	 Low Hasn't faired well - amongst the low performers	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Good The stock is underpriced and is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.97%, vs industry avg of 16.03%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 71.07% to 64.99%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 29.48%, vs industry avg of 27.61%	78,181.88	11,657.03	6,545.74	9,831.19	76,313.41	12,818.04	9,422.05	10,428.94	60,210.92	10,078.54	6,136.35	7,725.45	95,706.73	18,086.17	12,256.07	15,463.52	12.26
64	FORTIS	Fortis Healthcare Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 3.47%, vs industry avg of 12.6%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 18.73% to 11.55%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 5.65%, vs industry avg of 28.13%	5,038.17	459.66	-298.92	-110.09	4,908.40	736.16	57.95	239.37	4,262.45	499.77	-109.76	43.29	6,297.97	1,435.48	555.12	987.79	36.12
65	FEDERALBNK	Federal Bank Ltd	 Avg Price return has been average, nothing exciting	 Avg Can be considered moderately valued vs the market	 Low Lagging behind the market in financials growth	 Avg Average profitability - not good, not bad	 Good The stock is underpriced and is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 10.83%, vs industry avg of 10.26%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.45% to 2.53%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 17.84%, vs industry avg of 17.6%	12,970.66	2,082.36	1,316.28	1,960.10	15,472.20	2,185.69	1,580.19	2,059.96	16,285.73	2,323.48	1,664.32	2,208.56	16,502.46	2,785.17	1,969.78	2,646.27	8.53
66	GODREJCP	Godrej Consumer Products Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 5.81%, vs industry avg of 7.56%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 26.43% to 24.36%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 6.46%, vs industry avg of 8.06%	10,694.32	2,493.52	2,341.53	2,085.33	10,033.42	2,185.81	1,496.58	1,760.40	11,137.78	2,421.86	1,720.82	2,080.36	12,421.66	2,487.45	1,783.39	2,155.26	63.39
67	GODREJPROP	Godrej Properties Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 8.33%, vs industry avg of 1.17%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 3.04% to 3.94%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 11.25%, vs industry avg of 9.43%	3,235.93	596.57	253.15	348.20	2,914.59	733.48	270.52	492.89	1,333.09	118.74	-189.30	-85.66	2,585.69	705.24	352.37	516.33	69.16
68	HAL	Hindustan Aeronautics Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	BadThe stock is overpriced and in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 6.14%, vs industry avg of 3.5%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 78.02% to 87.55%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 14.12%, vs industry avg of 12.36%	20,384.49	4,927.52	2,328.63	3,724.66	21,867.67	5,336.75	2,882.82	3,978.64	23,246.60	5,708.26	3,245.95	4,283.48	25,604.95	6,400.30	5,080.04	5,224.53	19.58
69	GUJGASLTD	Gujarat Gas Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 26.44%, vs industry avg of 16.03%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 7.31% to 11.24%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 42.31%, vs industry avg of 27.61%	7,867.46	1,091.36	418.45	595.62	10,384.23	1,730.91	1,198.82	1,207.98	9,940.13	2,175.44	1,270.37	1,697.55	16,548.71	2,181.75	1,287.37	1,715.16	21.58
