sNo,Company Name,Full Company Name,sc Performance,sc Valuation,sc Growth,sc Profitability,sc Entry Point,sc Red Flags,Income Statements,2019 Total Revenue,2019 EBITDA,2019 Net Income,2019 PBT,2020 Total Revenue,2020 EBITDA,2020 Net Income,2020 PBT,2021 Total Revenue,2021 EBITDA,2021 Net Income,2021 PBT,2022 Total Revenue,2022 EBITDA,2022 Net Income,2022 PBT,PE Ratio,Entry_point_Sentiment,Growth_Sentiment,Profitability_Sentiment,RedFlag_Sentiment,Performance_Sentiment,Valuation_Sentiment,Sentiment,News Sentiment Score
107.0,CSBBANK,CSB Bank Ltd, Low Hasn't faired well - amongst the low performers, Avg Can be considered moderately valued vs the market, High Strong financials and growth story over the years, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.16%, vs industry avg of 10.26%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 0.4% to 0.35%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 212.03%, vs industry avg of 17.6%",1483.44,-283.56,-197.41,-300.09,1731.50,157.52,12.73,134.00,2175.42,333.32,218.41,292.56,2285.11,652.23,458.50,614.24,8.30,2.0,2.0,2.0,2.0,0.0,1.0,1.5,0.0
108.0,CRISIL,CRISIL Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 11.42%, vs industry avg of 8.63%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 46.17% to 52.41%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 13.14%, vs industry avg of 8.45%",1804.56,528.68,343.95,491.59,2064.98,593.79,354.73,458.29,2423.53,733.35,465.81,618.44,2891.19,852.11,564.39,742.40,48.81,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.6245666666666666
109.0,CROMPTON,Crompton Greaves Consumer Electricals Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 6.88%, vs industry avg of 3.02%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 6.99% to 8.51%",4526.92,632.33,401.39,559.84,4579.31,658.15,496.39,590.69,4879.26,796.23,616.65,723.63,5466.76,829.13,578.38,751.54,37.61,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
110.0,DCMSHRIRAM,DCM Shriram Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 11.31%, vs industry avg of 13.17%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 11.68% to 10.73%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 14.11%, vs industry avg of 16.43%",8102.39,1456.33,905.50,1180.24,8157.59,1280.11,716.71,897.25,8701.73,1244.28,673.28,889.17,9971.20,1888.30,1067.35,1564.98,14.82,2.0,0.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.0
111.0,CREDITACC,CreditAccess Grameen Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 31.13%, vs industry avg of 13.3%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 0.94% to 1.96%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 35.22%, vs industry avg of 18.24%",1283.32,505.53,321.76,497.74,1705.48,481.97,333.55,461.60,2466.07,224.47,134.02,180.40,2750.13,528.02,363.04,480.79,23.97,2.0,0.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.0
112.0,CUB,City Union Bank Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 5.87%, vs industry avg of 10.26%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 0.91% to 0.75%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 8.62%, vs industry avg of 17.6%",4281.56,986.35,682.85,924.85,4848.55,665.32,476.33,586.33,4823.45,780.29,592.82,692.82,4863.86,1070.18,760.16,985.16,9.83,2.0,0.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.9696
113.0,DMART,Avenue Supermarts Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 21.13%, vs industry avg of 16.23%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 34.06% to 80.67%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 25.53%, vs industry avg of 24.66%",20052.87,1681.64,902.54,1421.94,24930.19,2188.30,1301.08,1744.77,24339.27,1939.26,1099.49,1483.45,31093.76,2615.99,1492.55,2064.12,99.32,2.0,0.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.8427000000000001
114.0,DLF,DLF Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of -8.22%, vs industry avg of 1.17%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 16.54% to 9.35%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 15.99%, vs industry avg of 9.43%",9156.73,2932.15,1319.20,645.65,7228.47,2280.70,-583.20,653.46,5944.89,1852.42,1093.61,839.58,6137.85,1938.59,1500.86,1164.60,108.91,2.0,0.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.9788
115.0,ELGIEQUIP,Elgi Equipments Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.28%, vs industry avg of 9.13%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.53% to 2.96%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 19.25%, vs industry avg of 17.99%",1875.06,205.57,103.05,143.49,1843.66,152.02,42.57,69.56,1948.68,242.06,102.48,152.75,2581.00,350.56,178.43,263.04,45.64,2.0,0.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.0
116.0,DIXON,Dixon Technologies (India) Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 34.2%, vs industry avg of 3.02%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 4.38% to 16.66%",2990.08,141.78,63.35,93.81,4405.32,232.74,120.50,156.77,6449.75,293.45,159.80,217.01,10700.89,388.06,190.17,254.71,94.98,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.9554
117.0,ECLERX,Eclerx Services Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 9.98%, vs industry avg of 7.79%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 9.78% to 10.81%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 3.35%, vs industry avg of 41.9%",1479.18,357.43,228.26,311.47,1484.28,371.57,208.97,280.51,1598.94,483.63,282.56,380.62,2184.97,686.45,417.41,560.50,16.83,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0
118.0,EIHOTEL,EIH Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of -7.58%, vs industry avg of -6.71%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 11.09% to 10.84%",1903.59,413.94,131.54,230.94,1674.69,368.08,148.80,166.01,546.99,-305.27,-369.71,-476.01,1099.19,65.86,-97.47,-93.33,41.26,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
119.0,EIDPARRY,E I D-Parry (India) Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 10.33%, vs industry avg of 4.06%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 24.39% to 32.32%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 11.73%, vs industry avg of 7.55%",16668.08,1533.79,153.49,836.95,17259.15,2015.69,467.87,1266.24,18685.32,2106.63,447.37,1539.32,23781.78,2615.01,906.83,2129.11,9.00,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
120.0,DRREDDY,Dr Reddy's Laboratories Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 8.99%, vs industry avg of 7.66%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 7.43% to 7.39%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 11.05%, vs industry avg of 4.09%",15829.50,3559.50,1950.00,2335.80,18193.70,3147.10,2026.00,1885.70,19386.90,4209.30,1951.60,2883.50,22099.90,4322.40,2182.50,3061.40,17.21,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.9943
121.0,EMAMILTD,Emami Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 5.47%, vs industry avg of 7.56%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 7.11% to 6.45%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 19.77%, vs industry avg of 8.06%",2729.53,750.13,303.23,403.42,2711.95,730.92,302.92,373.58,2950.80,949.14,454.70,568.92,3287.28,1027.85,838.98,688.00,26.36,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.95075
122.0,DIVISLAB,Divi's Laboratories Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 17%, vs industry avg of 8.51%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 40.63% to 54.85%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 22.79%, vs industry avg of 19.07%",5101.89,2028.65,1352.74,1855.07,5584.05,2012.84,1376.54,1819.46,7031.96,2923.73,1984.29,2666.04,9073.70,3997.01,2960.45,3683.50,49.92,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
123.0,EICHERMOT,Eicher Motors Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.71%, vs industry avg of 3.36%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 22.65% to 27.84%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 0.11%, vs industry avg of -18.22%",10498.85,3604.90,2202.73,3297.29,9728.54,2755.31,1827.44,2354.89,9204.67,2265.57,1346.89,1798.39,10798.80,2673.22,1676.60,2202.51,33.63,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.89475
124.0,FLUOROCHEM,Gujarat Fluorochemicals Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,Income statement not found,2815.24,865.82,1248.57,645.29,2822.65,629.29,196.33,332.09,2851.58,796.97,-218.73,482.33,4114.14,1329.03,787.17,1045.18,26.02,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.20925000000000002
125.0,ENGINERSIN,Engineers India Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 12.32%, vs industry avg of 5.76%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 0.64% to 0.92%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -15.82%, vs industry avg of -1.74%",2698.11,599.48,368.46,574.23,3492.08,710.76,423.84,683.04,3332.95,385.74,248.90,356.32,3042.72,475.85,139.52,449.47,17.93,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.8140499999999999
126.0,FINCABLES,Finolex Cables Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 9.85%, vs industry avg of 11.71%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 32.84% to 20.26%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 8.4%, vs industry avg of 9.32%",3259.81,651.69,407.47,610.22,3046.39,552.51,391.00,512.05,3068.52,670.59,461.46,630.87,4166.64,827.00,599.14,786.63,24.32,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
127.0,FACT,Fertilisers And Chemicals Travancore Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 18.46%, vs industry avg of 13.85%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.04% to 2.38%",2411.18,466.23,162.68,162.68,3773.59,1282.74,975.52,975.52,3326.42,618.43,350.48,350.48,4542.45,624.83,353.28,353.28,33.70,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
128.0,FINPIPE,Finolex Industries Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 14.15%, vs industry avg of 16.1%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 7.76% to 7.34%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 24.26%, vs industry avg of 28.86%",3145.74,630.82,367.25,548.47,3039.98,502.91,332.65,417.82,3550.01,1077.05,737.79,992.06,5105.61,1480.56,1051.33,1383.07,40.58,2.0,0.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.0
129.0,ESCORTS,Escorts Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 12.21%, vs industry avg of 11.21%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 75.12% to 78.55%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 41.19%, vs industry avg of 27.29%",6361.21,821.76,478.93,715.01,5907.69,749.70,472.25,625.25,7174.80,1286.40,871.46,1154.78,7456.45,1139.86,736.47,992.83,36.33,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
130.0,GAEL,Gujarat Ambuja Exports Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.08%, vs industry avg of 9.92%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 18.51% to 15.45%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 24.56%, vs industry avg of 18.54%",4033.08,384.02,198.15,269.55,3826.38,291.49,145.84,181.35,4734.15,561.42,338.07,452.40,4724.37,741.18,475.44,638.17,16.97,2.0,0.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.0
131.0,GAIL,GAIL (India) Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.97%, vs industry avg of 16.03%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 71.07% to 64.99%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 29.48%, vs industry avg of 27.61%",78181.88,11657.03,6545.74,9831.19,76313.41,12818.04,9422.05,10428.94,60210.92,10078.54,6136.35,7725.45,95706.73,18086.17,12256.07,15463.52,12.28,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.7500333333333332
132.0,ERIS,Eris Lifesciences Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 12.13%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 0.4% to 0.46%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 10.47%, vs industry avg of 4.09%",1013.85,376.76,290.79,317.35,1089.46,383.91,296.49,331.35,1220.57,439.45,355.12,394.48,1373.13,511.12,406.11,442.19,22.97,1.0,0.0,2.0,2.0,0.0,0.0,0.8333333333333334,0.0
133.0,FORTIS,Fortis Healthcare Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 3.47%, vs industry avg of 12.6%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 18.73% to 11.55%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 5.65%, vs industry avg of 28.13%",5038.17,459.66,-298.92,-110.09,4908.40,736.16,57.95,239.37,4262.45,499.77,-109.76,43.29,6297.97,1435.48,555.12,987.79,36.43,1.0,1.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.0
134.0,FSL,Firstsource Solutions Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 10.72%, vs industry avg of 7.79%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 25.64% to 29.29%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 13.93%, vs industry avg of 41.9%",3830.17,556.32,377.79,435.92,4107.45,662.46,339.67,394.20,5079.25,725.35,361.69,431.84,5921.71,982.98,537.37,647.11,17.21,2.0,0.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.0
135.0,FEDERALBNK,Federal Bank Ltd," Avg Price return has been average, nothing exciting", Avg Can be considered moderately valued vs the market, Low Lagging behind the market in financials growth," Avg Average profitability - not good, not bad", Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 10.83%, vs industry avg of 10.26%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.45% to 2.53%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 17.84%, vs industry avg of 17.6%",12970.66,2082.36,1316.28,1960.10,15472.20,2185.69,1580.19,2059.96,16285.73,2323.48,1664.32,2208.56,16502.46,2785.17,1969.78,2646.27,8.46,2.0,0.0,1.0,2.0,1.0,1.0,1.1666666666666667,0.0
