sNo,Company Name,Full Company Name,sc Performance,sc Valuation,sc Growth,sc Profitability,sc Entry Point,sc Red Flags,Income Statements,2019 Total Revenue,2019 EBITDA,2019 Net Income,2019 PBT,2020 Total Revenue,2020 EBITDA,2020 Net Income,2020 PBT,2021 Total Revenue,2021 EBITDA,2021 Net Income,2021 PBT,2022 Total Revenue,2022 EBITDA,2022 Net Income,2022 PBT,PE Ratio,Entry_point_Sentiment,Growth_Sentiment,Profitability_Sentiment,RedFlag_Sentiment,Performance_Sentiment,Valuation_Sentiment
113,DMART,Avenue Supermarts Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 21.13%, vs industry avg of 16.23%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 34.06% to 80.67%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 25.53%, vs industry avg of 24.66%","20,052.87","1,681.64",902.54,"1,421.94","24,930.19","2,188.30","1,301.08","1,744.77","24,339.27","1,939.26","1,099.49","1,483.45","31,093.76","2,615.99","1,492.55","2,064.12",99.32,2,0,2,2,1,0
114,DLF,DLF Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of -8.22%, vs industry avg of 1.17%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 16.54% to 9.35%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 15.99%, vs industry avg of 9.43%","9,156.73","2,932.15","1,319.20",645.65,"7,228.47","2,280.70",-583.20,653.46,"5,944.89","1,852.42","1,093.61",839.58,"6,137.85","1,938.59","1,500.86","1,164.60",108.91,2,0,2,2,1,0
115,ELGIEQUIP,Elgi Equipments Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.28%, vs industry avg of 9.13%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.53% to 2.96%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 19.25%, vs industry avg of 17.99%","1,875.06",205.57,103.05,143.49,"1,843.66",152.02,42.57,69.56,"1,948.68",242.06,102.48,152.75,"2,581.00",350.56,178.43,263.04,45.64,2,0,2,2,1,0
116,DIXON,Dixon Technologies (India) Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 34.2%, vs industry avg of 3.02%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 4.38% to 16.66%","2,990.08",141.78,63.35,93.81,"4,405.32",232.74,120.50,156.77,"6,449.75",293.45,159.80,217.01,"10,700.89",388.06,190.17,254.71,94.98,0,1,2,2,1,0
117,ECLERX,Eclerx Services Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 9.98%, vs industry avg of 7.79%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 9.78% to 10.81%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 3.35%, vs industry avg of 41.9%","1,479.18",357.43,228.26,311.47,"1,484.28",371.57,208.97,280.51,"1,598.94",483.63,282.56,380.62,"2,184.97",686.45,417.41,560.50,16.83,0,1,2,2,1,0
118,EIHOTEL,EIH Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of -7.58%, vs industry avg of -6.71%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 11.09% to 10.84%","1,903.59",413.94,131.54,230.94,"1,674.69",368.08,148.80,166.01,546.99,-305.27,-369.71,-476.01,"1,099.19",65.86,-97.47,-93.33,41.26,1,0,2,2,1,0
119,EIDPARRY,E I D-Parry (India) Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 10.33%, vs industry avg of 4.06%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 24.39% to 32.32%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 11.73%, vs industry avg of 7.55%","16,668.08","1,533.79",153.49,836.95,"17,259.15","2,015.69",467.87,"1,266.24","18,685.32","2,106.63",447.37,"1,539.32","23,781.78","2,615.01",906.83,"2,129.11",9.00,1,0,2,2,1,0
120,DRREDDY,Dr Reddy's Laboratories Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 8.99%, vs industry avg of 7.66%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 7.43% to 7.39%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 11.05%, vs industry avg of 4.09%","15,829.50","3,559.50","1,950.00","2,335.80","18,193.70","3,147.10","2,026.00","1,885.70","19,386.90","4,209.30","1,951.60","2,883.50","22,099.90","4,322.40","2,182.50","3,061.40",17.21,1,0,2,2,1,0
121,EMAMILTD,Emami Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 5.47%, vs industry avg of 7.56%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 7.11% to 6.45%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 19.77%, vs industry avg of 8.06%","2,729.53",750.13,303.23,403.42,"2,711.95",730.92,302.92,373.58,"2,950.80",949.14,454.70,568.92,"3,287.28","1,027.85",838.98,688.00,26.36,1,0,2,2,1,0
122,DIVISLAB,Divi's Laboratories Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 17%, vs industry avg of 8.51%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 40.63% to 54.85%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 22.79%, vs industry avg of 19.07%","5,101.89","2,028.65","1,352.74","1,855.07","5,584.05","2,012.84","1,376.54","1,819.46","7,031.96","2,923.73","1,984.29","2,666.04","9,073.70","3,997.01","2,960.45","3,683.50",49.92,1,0,2,2,1,0
123,EICHERMOT,Eicher Motors Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.71%, vs industry avg of 3.36%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 22.65% to 27.84%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 0.11%, vs industry avg of -18.22%","10,498.85","3,604.90","2,202.73","3,297.29","9,728.54","2,755.31","1,827.44","2,354.89","9,204.67","2,265.57","1,346.89","1,798.39","10,798.80","2,673.22","1,676.60","2,202.51",33.63,1,0,2,2,1,0
124,FLUOROCHEM,Gujarat Fluorochemicals Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,Income statement not found,"2,815.24",865.82,"1,248.57",645.29,"2,822.65",629.29,196.33,332.09,"2,851.58",796.97,-218.73,482.33,"4,114.14","1,329.03",787.17,"1,045.18",26.02,1,1,2,2,0,0
125,ENGINERSIN,Engineers India Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 12.32%, vs industry avg of 5.76%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 0.64% to 0.92%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -15.82%, vs industry avg of -1.74%","2,698.11",599.48,368.46,574.23,"3,492.08",710.76,423.84,683.04,"3,332.95",385.74,248.90,356.32,"3,042.72",475.85,139.52,449.47,17.93,1,1,2,2,0,0
126,FINCABLES,Finolex Cables Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 9.85%, vs industry avg of 11.71%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 32.84% to 20.26%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 8.4%, vs industry avg of 9.32%","3,259.81",651.69,407.47,610.22,"3,046.39",552.51,391.00,512.05,"3,068.52",670.59,461.46,630.87,"4,166.64",827.00,599.14,786.63,24.32,1,0,2,2,1,0
127,FACT,Fertilisers And Chemicals Travancore Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 18.46%, vs industry avg of 13.85%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.04% to 2.38%","2,411.18",466.23,162.68,162.68,"3,773.59","1,282.74",975.52,975.52,"3,326.42",618.43,350.48,350.48,"4,542.45",624.83,353.28,353.28,33.70,1,0,2,2,1,0
128,FINPIPE,Finolex Industries Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 14.15%, vs industry avg of 16.1%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 7.76% to 7.34%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 24.26%, vs industry avg of 28.86%","3,145.74",630.82,367.25,548.47,"3,039.98",502.91,332.65,417.82,"3,550.01","1,077.05",737.79,992.06,"5,105.61","1,480.56","1,051.33","1,383.07",40.58,2,0,2,2,1,0
129,ESCORTS,Escorts Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 12.21%, vs industry avg of 11.21%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 75.12% to 78.55%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 41.19%, vs industry avg of 27.29%","6,361.21",821.76,478.93,715.01,"5,907.69",749.70,472.25,625.25,"7,174.80","1,286.40",871.46,"1,154.78","7,456.45","1,139.86",736.47,992.83,36.33,1,0,2,2,1,0
130,GAEL,Gujarat Ambuja Exports Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.08%, vs industry avg of 9.92%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 18.51% to 15.45%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 24.56%, vs industry avg of 18.54%","4,033.08",384.02,198.15,269.55,"3,826.38",291.49,145.84,181.35,"4,734.15",561.42,338.07,452.40,"4,724.37",741.18,475.44,638.17,16.97,2,0,2,2,1,0
131,GAIL,GAIL (India) Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.97%, vs industry avg of 16.03%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 71.07% to 64.99%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 29.48%, vs industry avg of 27.61%","78,181.88","11,657.03","6,545.74","9,831.19","76,313.41","12,818.04","9,422.05","10,428.94","60,210.92","10,078.54","6,136.35","7,725.45","95,706.73","18,086.17","12,256.07","15,463.52",12.28,2,0,2,2,0,0
132,ERIS,Eris Lifesciences Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 12.13%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 0.4% to 0.46%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 10.47%, vs industry avg of 4.09%","1,013.85",376.76,290.79,317.35,"1,089.46",383.91,296.49,331.35,"1,220.57",439.45,355.12,394.48,"1,373.13",511.12,406.11,442.19,22.97,1,0,2,2,0,0
133,FORTIS,Fortis Healthcare Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 3.47%, vs industry avg of 12.6%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 18.73% to 11.55%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 5.65%, vs industry avg of 28.13%","5,038.17",459.66,-298.92,-110.09,"4,908.40",736.16,57.95,239.37,"4,262.45",499.77,-109.76,43.29,"6,297.97","1,435.48",555.12,987.79,36.43,1,1,2,2,1,0
134,FSL,Firstsource Solutions Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 10.72%, vs industry avg of 7.79%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 25.64% to 29.29%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 13.93%, vs industry avg of 41.9%","3,830.17",556.32,377.79,435.92,"4,107.45",662.46,339.67,394.20,"5,079.25",725.35,361.69,431.84,"5,921.71",982.98,537.37,647.11,17.21,2,0,2,2,1,0
135,FEDERALBNK,Federal Bank Ltd," Avg Price return has been average, nothing exciting", Avg Can be considered moderately valued vs the market, Low Lagging behind the market in financials growth," Avg Average profitability - not good, not bad", Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 10.83%, vs industry avg of 10.26%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.45% to 2.53%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 17.84%, vs industry avg of 17.6%","12,970.66","2,082.36","1,316.28","1,960.10","15,472.20","2,185.69","1,580.19","2,059.96","16,285.73","2,323.48","1,664.32","2,208.56","16,502.46","2,785.17","1,969.78","2,646.27",8.46,2,0,1,2,1,1
136,FINEORG,Fine Organic Industries Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 19.54%, vs industry avg of 8.74%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.67% to 2.3%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 27.23%, vs industry avg of 15.42%","1,080.16",253.43,136.21,234.14,"1,058.27",255.60,164.78,216.12,"1,150.32",215.06,120.33,162.16,"1,909.32",396.54,259.61,351.53,24.97,0,1,2,2,0,0
137,ENDURANCE,Endurance Technologies Ltd (CN), Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 6.2%, vs industry avg of 7.63%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 3.3% to 3.21%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 6.88%, vs industry avg of -1.9%","7,537.55","1,135.02",495.00,733.08,"6,965.31","1,178.37",565.54,746.55,"6,577.73","1,059.71",519.72,646.81,"7,590.18",974.22,460.70,586.14,43.71,1,0,2,2,0,0
138,FDC,F D C Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 8.55%, vs industry avg of 7.66%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 0.55% to 0.54%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 2.8%, vs industry avg of 4.09%","1,134.17",271.32,169.80,236.64,"1,413.09",360.84,239.89,319.96,"1,430.24",428.96,301.35,387.72,"1,604.01",329.78,216.40,289.39,25.47,2,0,2,2,1,0
139,EPL,EPL Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.91%, vs industry avg of 6.59%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 7.48% to 7.97%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 2.41%, vs industry avg of 24.71%","2,744.76",536.00,192.53,288.58,"2,774.70",560.80,207.30,275.40,"3,106.10",608.60,239.10,331.10,"3,444.80",580.50,214.40,288.80,28.20,1,0,2,2,1,0
140,EXIDEIND,Exide Industries Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.92%, vs industry avg of 7.32%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 55.91% to 57.48%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 40.38%, vs industry avg of 28.51%","14,869.05","1,709.65",845.55,"1,249.01","14,532.89","1,497.65",776.75,971.88,"10,491.58","1,497.85",809.90,"1,067.82","16,513.82","5,127.02","4,366.93","4,623.14",21.25,2,0,2,2,0,0
141,GMMPFAUDLR,GMM Pfaudler Ltd, High The creamy layer - amongst the top performing stocks, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 48%, vs industry avg of 9.13%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 0.66% to 2.92%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 22.27%, vs industry avg of 17.99%",511.09,85.42,50.59,73.28,596.83,116.90,71.13,92.29,"1,024.60",128.72,73.44,68.06,"2,547.30",290.60,85.05,133.38,39.28,1,1,2,2,2,0
142,GARFIBRES,Garware Technical Fibres Ltd, High The creamy layer - amongst the top performing stocks, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.3%, vs industry avg of 6.42%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 0.7% to 0.75%","1,038.90",213.05,125.67,182.09,985.28,209.70,140.54,178.87,"1,069.24",239.04,158.40,208.07,"1,214.94",248.45,164.78,216.42,36.52,1,1,2,2,2,0
